Source Row,Product,Base Compound,Variant / Strength,Primary Category,Secondary Category,Website Status,Featured,Your Price,Market Position,Source Section,Display Priority,Alpha Notes
3,Semaglutide 2mg,Semaglutide,2mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,30,far below market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
4,Semaglutide 5mg,Semaglutide,5mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,49,far below market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
5,Semaglutide 10mg,Semaglutide,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,73,far below market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
6,Semaglutide 15mg,Semaglutide,15mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,98,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
7,Semaglutide 20mg,Semaglutide,20mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,123,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
8,Semaglutide 30mg,Semaglutide,30mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,160,few comps,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
9,Semaglutide 50mg,Semaglutide,50mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,186,few comps,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
10,Retatrutide 5mg,Retatrutide,5mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,Homepage Feature,49,very low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,1,
11,Retatrutide 10mg,Retatrutide,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,73,very low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
12,Retatrutide 15mg,Retatrutide,15mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,95,very low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
13,Retatrutide 20mg,Retatrutide,20mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,125,very low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
14,Cagrilintide 2mg,Cagrilintide,2mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,49,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
15,Cagrilintide 5mg,Cagrilintide,5mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,110,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
16,Cagrilintide 10mg,Cagrilintide,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,200,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
17,CagriSema 5mg,CagriSema,5mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,81,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
18,CagriSema 10mg,CagriSema,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,165,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
19,CagriSema 20mg,CagriSema,20mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,226,specialty,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
20,Liraglutide 5mg,Liraglutide,5mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,64,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
21,Liraglutide 10mg,Liraglutide,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,121,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
22,Liraglutide 30mg,Liraglutide,30mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,398,few comps,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
23,Dulaglutide 5mg,Dulaglutide,5mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,226,moderate gap,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
24,Dulaglutide 10mg,Dulaglutide,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,226,below market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
25,Mazdutide 10mg,Mazdutide,10mg,Weight Management & Metabolic Research,GLP-1 / Metabolic,In Stock,,253,rare SKU,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
26,AOD-9604 2mg,AOD-9604,2mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,39,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
27,AOD-9604 5mg,AOD-9604,5mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,101,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
28,AOD-9604 10mg,AOD-9604,10mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,176,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
29,5-Amino-1MQ 5mg,5-Amino-1MQ,5mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,47,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
30,5-Amino-1MQ 10mg,5-Amino-1MQ,10mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,30,very low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
31,5-Amino-1MQ 50mg,5-Amino-1MQ,50mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,106,specialty,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
32,Adipotide 2mg,Adipotide,2mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,60,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
33,Adipotide 5mg,Adipotide,5mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,165,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
34,Adipotide 10mg,Adipotide,10mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,242,under market,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
35,CBL-514 5mg,CBL-514,5mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,152,specialty,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
36,CBL-514 10mg,CBL-514,10mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,290,specialty,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
37,CBL-514 20mg,CBL-514,20mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,406,specialty,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
38,HGH Fragment 1mg,HGH Fragment,1mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,33,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
39,HGH Fragment 2mg,HGH Fragment,2mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,44,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
40,HGH Fragment 5mg,HGH Fragment,5mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,88,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
41,HGH Fragment 10mg,HGH Fragment,10mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,160,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
42,HGH Fragment 12mg,HGH Fragment,12mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,165,few comps,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
43,HGH Fragment 15mg,HGH Fragment,15mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,205,few comps,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
44,L-Carnitine 400mg,L-Carnitine,400mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,53,competitive,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
45,L-Carnitine 600mg,L-Carnitine,600mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,50,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
46,L-Carnitine 1200mg,L-Carnitine,1200mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,59,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
47,MIC,MIC,,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,111,competitive,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
48,Lipo-C,Lipo-C,,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,56,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
49,Lemon Bottle,Lemon Bottle,,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,60,low,SECTION 1 — WEIGHT LOSS / GLP-1 FULL BENCHMARK,2,
54,BPC-157 2mg,BPC-157,2mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,Homepage Feature,30,very under market,SECTION 2 — HEALING / RECOVERY BENCHMARK,1,
55,BPC-157 5mg,BPC-157,5mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,Homepage Feature,46,large gap,SECTION 2 — HEALING / RECOVERY BENCHMARK,1,
56,BPC-157 10mg,BPC-157,10mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,Homepage Feature,68,major pricing room,SECTION 2 — HEALING / RECOVERY BENCHMARK,1,
57,BPC-157 5mg + TB-500 5mg,BPC-157 5mg + TB-500,5mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,89,low,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
58,BPC-157 10mg + TB-500 10mg,BPC-157 10mg + TB-500,10mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,192,under market,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
59,BPC-157 15mg + TB-500 15mg,BPC-157 15mg + TB-500,15mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,300,few comps,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
60,TB-500 5mg,TB-500,5mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,55,under market,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
61,TB-500 10mg,TB-500,10mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,95,under market,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
62,GHK-CU 50mg,GHK-CU,50mg,Copper Peptides & Aesthetic Research,Recovery & Regenerative Research,In Stock,,32,extremely low,SECTION 2 — HEALING / RECOVERY BENCHMARK,5,
63,GHK-CU 100mg,GHK-CU,100mg,Copper Peptides & Aesthetic Research,Recovery & Regenerative Research,In Stock,,44,large gap,SECTION 2 — HEALING / RECOVERY BENCHMARK,5,
64,AHK-CU 20mg,AHK-CU,20mg,Copper Peptides & Aesthetic Research,Recovery & Regenerative Research,In Stock,,32,below market,SECTION 2 — HEALING / RECOVERY BENCHMARK,5,
65,AHK-CU 50mg,AHK-CU,50mg,Copper Peptides & Aesthetic Research,Recovery & Regenerative Research,In Stock,,60,below market,SECTION 2 — HEALING / RECOVERY BENCHMARK,5,
66,KPV 5mg,KPV,5mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,45,low,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
67,KPV 10mg,KPV,10mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,68,low,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
68,LL-37 5mg,LL-37,5mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,172,competitive-low,SECTION 2 — HEALING / RECOVERY BENCHMARK,2,
69,GLOW 70mg,GLOW,70mg,Copper Peptides & Aesthetic Research,Specialty Blends,In Stock,,250,specialty blend,SECTION 2 — HEALING / RECOVERY BENCHMARK,5,
70,KLOW 80mg,KLOW,80mg,Copper Peptides & Aesthetic Research,Specialty Blends,In Stock,,250,specialty blend,SECTION 2 — HEALING / RECOVERY BENCHMARK,5,
75,Ipamorelin 2mg,Ipamorelin,2mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,24,very under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
76,Ipamorelin 5mg,Ipamorelin,5mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,49,large gap,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
77,Ipamorelin 10mg,Ipamorelin,10mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,71,major pricing room,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
